,syntax_penn_tok2,syntax_penn_lem2,lexical_tok2,lexical_lem2,condition_info
0,0.7755913936269957,0.7755913936269957,0.2442093723071631,0.2797869684831183,dyad12-dyad33-cond1
1,0.6746820486974856,0.6746820486974856,0.11698876284567239,0.12635567557684257,dyad12-dyad44-cond1
2,0.5375634764471772,0.5375634764471772,0.12471451091289432,0.14650801940810218,dyad14-dyad41-cond1
3,0.6083396900385705,0.6083396900385705,0.1910908019246628,0.20072606577883428,dyad15-dyad30-cond1
4,0.6513922159871587,0.6513922159871587,0.12830828181100606,0.15289356682245278,dyad16-dyad17-cond1
5,0.46923713220346497,0.46923713220346497,0.05053341616328513,0.08131156281817417,dyad17-dyad16-cond1
6,0.793080218519692,0.793080218519692,0.40371309081921747,0.44111032337448697,dyad20-dyad33-cond1
7,0.7404640611756272,0.7404640611756272,0.3816301372552358,0.4057507178698468,dyad20-dyad47-cond1
8,0.5671044567496618,0.5671044567496618,0.0648609337301797,0.08886056333942635,dyad23-dyad39-cond1
9,0.4865401437450047,0.4865401437450047,0.29072938723061914,0.31107561242547394,dyad24-dyad50-cond1
10,0.8001370673872578,0.8001370673872578,0.3120836739036803,0.3467642311080227,dyad26-dyad38-cond1
11,0.7681837462114094,0.7681837462114094,0.34241247771257227,0.37365601071602633,dyad28-dyad35-cond1
12,0.7704817960947525,0.7704817960947525,0.4407485493837162,0.48516097008639414,dyad28-dyad39-cond1
13,0.6940752709472379,0.6940752709472379,0.13908199136502608,0.18299363521795253,dyad29-dyad42-cond1
14,0.6571764302318588,0.6571764302318588,0.08432540842712087,0.07758463032611397,dyad30-dyad15-cond1
15,0.7528342169520992,0.7528342169520992,0.3057575019483012,0.3366213270751199,dyad30-dyad41-cond1
16,0.6919758793154785,0.6919758793154785,0.25617485155583475,0.2615343689010107,dyad30-dyad42-cond1
17,0.816760749784093,0.816760749784093,0.3267192814037698,0.3519953002084936,dyad33-dyad12-cond1
18,0.8092132741747246,0.8092132741747246,0.3322280917914482,0.3685734733679798,dyad33-dyad20-cond1
19,0.8224800049322254,0.8224800049322254,0.3019917109557491,0.347964602255114,dyad33-dyad41-cond1
20,0.6911802061674752,0.6911802061674752,0.24185355009487194,0.2570117621268716,dyad35-dyad28-cond1
21,0.8381899643099601,0.8381899643099601,0.3385028988751277,0.37825198082767264,dyad37-dyad46-cond1
22,0.7000682324161017,0.7000682324161017,0.1469678144155377,0.18243878933861743,dyad38-dyad26-cond1
23,0.6435018887049155,0.6435018887049155,0.12219509332474154,0.13723762303256565,dyad39-dyad23-cond1
24,0.6758724316580512,0.6758724316580512,0.1762640204492258,0.1898886313281875,dyad39-dyad28-cond1
25,0.7763778799771551,0.7763778799771551,0.15034936312573152,0.16684730884980875,dyad40-dyad9-cond1
26,0.7666447962464702,0.7666447962464702,0.20610837151915803,0.25474809841949125,dyad41-dyad14-cond1
27,0.7812846193815965,0.7812846193815965,0.3267662324845964,0.400176557157071,dyad41-dyad30-cond1
28,0.8391910210872636,0.8391910210872636,0.45952027986713595,0.4947180062554647,dyad41-dyad33-cond1
29,0.7884445907623844,0.7884445907623844,0.3907337220935754,0.4381147463257589,dyad41-dyad43-cond1
30,0.645236813883977,0.645236813883977,0.08373814157073405,0.10492552236961672,dyad42-dyad29-cond1
31,0.5823630863492499,0.5823630863492499,0.16745262858430915,0.19681964832601445,dyad42-dyad30-cond1
32,0.8117441336701724,0.8117441336701724,0.3668496975445195,0.38902384249503696,dyad43-dyad41-cond1
33,0.8457201266498812,0.8457201266498812,0.36926456953047826,0.40686407485536974,dyad43-dyad48-cond1
34,0.7757382617851603,0.7757382617851603,0.19752325244734448,0.23324195503461728,dyad43-dyad49-cond1
35,0.61098710872799,0.61098710872799,0.15773145926615606,0.15484193222775272,dyad44-dyad12-cond1
36,0.8300266866920603,0.8300266866920603,0.30979934117465563,0.3419264800832614,dyad46-dyad37-cond1
37,0.7447570771627953,0.7447570771627953,0.22358392935717622,0.2577860611505137,dyad47-dyad20-cond1
38,0.7843876140600665,0.7843876140600665,0.2808070610173846,0.30130534827660055,dyad48-dyad43-cond1
39,0.711584747534157,0.711584747534157,0.3153321990162017,0.343526000748274,dyad49-dyad43-cond1
40,0.6579277991636102,0.6579277991636102,0.1374258991153646,0.16289399458817289,dyad50-dyad24-cond1
41,0.8038887823982805,0.8038887823982805,0.26900951909672877,0.2948270306672828,dyad51-dyad9-cond1
42,0.75986520406111,0.75986520406111,0.1392661414713318,0.17462041824506624,dyad9-dyad40-cond1
43,0.6681439017603958,0.6681439017603958,0.14301715736735843,0.154496477735037,dyad9-dyad51-cond1
