,syntax_penn_tok2,syntax_penn_lem2,lexical_tok2,lexical_lem2,condition_info
533,0.6919998238675859,0.6919998238675859,0.12179203189339927,0.17071871922238946,dyad_0556-dyad_0268-cond1
534,0.6778504550134509,0.6778504550134509,0.1681178386784837,0.24223544897101137,dyad_0556-dyad_0517-cond1
535,0.6188658058033905,0.6188658058033905,0.1558320661207814,0.18402483930446867,dyad_0556-dyad_0718-cond1
536,0.7182683448011449,0.7182683448011449,0.20940762531952795,0.25952178553640104,dyad_0557-dyad_0168-cond1
537,0.7047372790622745,0.7047372790622745,0.13812819897559883,0.15993898876113566,dyad_0558-dyad_0033-cond1
538,0.7100837043028052,0.7100837043028052,0.16211937869779672,0.1714019030530131,dyad_0558-dyad_0443-cond1
539,0.7564493825122273,0.7564493825122273,0.11569188378175456,0.21845078220163755,dyad_0558-dyad_0647-cond1
540,0.6945677398763882,0.6945677398763882,0.1878938808956925,0.2660879171529507,dyad_0558-dyad_1080-cond1
541,0.7711592966228094,0.7711592966228094,0.29124354546391384,0.3219780328333222,dyad_0560-dyad_0172-cond1
542,0.7663588851047108,0.7663588851047108,0.15965730251452523,0.21515620486848658,dyad_0560-dyad_0174-cond1
543,0.6371425478127618,0.6371425478127618,0.0764742405849378,0.1504865004943678,dyad_0560-dyad_0364-cond1
544,0.7766935744313456,0.7766935744313456,0.2134213069126567,0.2513722415339777,dyad_0561-dyad_0978-cond1
545,0.7273509552942811,0.7273509552942811,0.24453278320143867,0.3022724759759319,dyad_0562-dyad_0418-cond1
546,0.7266136513054905,0.7266136513054905,0.2242683183248341,0.32339357964370585,dyad_0563-dyad_0783-cond1
547,0.6177298327715998,0.6177298327715998,0.05420145729610092,0.11583729897306036,dyad_0564-dyad_0759-cond1
548,0.7478585499372765,0.7478585499372765,0.15629342087064504,0.18527990195708718,dyad_0566-dyad_0542-cond1
549,0.5708384153547584,0.5708384153547584,0.09184436382669568,0.13497068923605174,dyad_0567-dyad_0738-cond1
550,0.7234246529331396,0.7234246529331396,0.13890450867964999,0.16674531492772673,dyad_0567-dyad_0885-cond1
551,0.6416063904157474,0.6416063904157474,0.08545050537742857,0.15236161432311707,dyad_0569-dyad_0825-cond1
552,0.6651772365607516,0.6651772365607516,0.1488564468145124,0.19913320426736503,dyad_0570-dyad_0197-cond1
553,0.7293867485301105,0.7293867485301105,0.224102827355131,0.2956854652640998,dyad_0570-dyad_0665-cond1
554,0.7837368543241579,0.7837368543241579,0.2571602864734152,0.3187865420230648,dyad_0570-dyad_0810-cond1
555,0.7198788641297436,0.7198788641297436,0.2689454957046422,0.2705741954976838,dyad_0571-dyad_0083-cond1
556,0.546197210806448,0.546197210806448,0.24956629299789151,0.261368766857988,dyad_0571-dyad_0995-cond1
